id,lat,lng,place_name,category,coords,location,created_at
210,36.05299980,-107.95592400,Chaco Culture National Historical Park,Parks,"36.0529998,-107.955924",0101000020E6100000895DDBDB2DFD5AC0E7D88BB2C8064240,2025-10-22 23:45:02.506891+00
211,41.66322150,-77.82340310,Cherry Springs State Park,Parks,"41.6632215,-77.8234031",0101000020E6100000337BEAA2B27453C085402E71E4D44440,2025-10-22 23:45:02.506891+00
212,32.01214080,-109.34379920,Chiricahua National Monument,Parks,"32.0121408,-109.3437992",0101000020E610000006195CCE00565BC0407969D48D014040,2025-10-22 23:45:02.506891+00
213,42.07270570,-113.70636570,City of Rocks National Reserve,Parks,"42.0727057,-113.7063657",0101000020E610000009217B18356D5CC0CCDD9D6B4E094540,2025-10-22 23:45:02.506891+00
214,34.20699430,-117.32237230,Clayton Lake State Park,Parks,"34.2069943,-117.3223723",0101000020E6100000B9686DBFA1545DC0AD7A0ACA7E1A4140,2025-10-22 23:45:02.506891+00
215,56.62461360,-6.84202970,Coll,Communities,"56.6246136,-6.8420297",0101000020E6100000F30A9F083D5E1BC08451A456F34F4C40,2025-10-22 23:45:02.506891+00
216,34.11241430,-99.75063010,Copper Breaks State Park,Parks,"34.1124143,-99.7506301",0101000020E61000002AB9D4520AF058C0260D7F97630E4140,2025-10-22 23:45:02.506891+00
217,33.47948000,-108.92251020,Cosmic Campground,Sanctuaries,"33.47948,-108.9225102",0101000020E61000007ECE38680A3B5BC0058BC3995FBD4040,2025-10-22 23:45:02.506891+00
218,34.70728940,-112.00086410,"Cottonwood, Arizona",Communities,"34.7072894,-112.0008641",0101000020E6100000644F4C280E005CC05BE78475885A4140,2025-10-22 23:45:02.506891+00
219,45.49128170,-69.39463640,AMC Maine Woods,Parks,"45.4912817,-69.3946364",0101000020E6100000EAF307B9415951C0C84F9951E2BE4640,2025-10-22 23:45:02.506891+00
220,50.95598430,-2.07371520,Cranborne Chase,Reserves,"50.9559843,-2.0737152",0101000020E6100000ABBEA9FEF79600C0A6FE8BB15D7A4940,2025-10-22 23:45:02.506891+00
221,43.17177450,-113.48212810,Craters Of The Moon National Monument,Parks,"43.1717745,-113.4821281",0101000020E6100000E37ED12FDB5E5CC0B4E4F1B4FC954540,2025-10-22 23:45:02.506891+00
222,37.99520650,-105.69765150,"Crestone, Colorado",Communities,"37.9952065,-105.6976515",0101000020E610000058207A52A66C5AC0212235ED62FF4240,2025-10-22 23:45:02.506891+00
223,38.46591120,-107.16671690,Curecanti National Recreation Area,Parks,"38.4659112,-107.1667169",0101000020E6100000314C5C7DABCA5AC0896B6BFAA23B4340,2025-10-22 23:45:02.506891+00
224,57.15357500,8.96009380,Dark Sky Park Bulbjerg,Parks,"57.153575,8.9600938",0101000020E61000004A2F206A91EB2140D93D7958A8934C40,2025-10-22 23:45:02.506891+00
225,53.44173680,5.23993280,De Boschplaat,Parks,"53.4417368,5.2399328",0101000020E61000006AF3A4F1B0F5144048B8DAD48AB84A40,2025-10-22 23:45:02.506891+00
226,38.50542670,-109.72942410,Dead Horse Point State Park,Parks,"38.5054267,-109.7294241",0101000020E6100000839A6BE2AE6E5BC03A8375D2B1404340,2025-10-22 23:45:02.506891+00
